source_code,source_term,modality,wise,last_date,source_frequency
RAD_TEEN_MG,Toe,Mammography,Toe - CR: 1115; RX teen - CR: 83; RX Teen - CR: 77; teen - CR: 5,2011-03-22,2631
RAD_T_ESCH1_MG,Echo Schouder Unilateraal,Mammography,not in wise,2018-04-19,2610
RAD_FEM_MG,FEM,Mammography,not in wise,1998-12-30,2603
RAD_T_CHWD_MG,CT Hals,Mammography,not in wise,2018-04-17,2591
RAD_GB2_MG,Gewone biopsie 2x,Mammography,not in wise,2011-11-23,2590
RAD_MRCA_MG,MR cardio,Mammography,MR cardio - MR: 2448,2017-09-28,2576
RAD_NMR HOOF_MG,NMR HOOFD,Mammography,NMR HOOFD - MG: 1,2011-03-24,2550
RAD_ZH00000027_CR,CR Teen I II III IV V Rechts,Computed Radiography,CR Teen I II III IV V Rechts - CR: 2172,2023-03-16,2543
RAD_ZH00000342_MR,MR Hersenen Migraine,Magnetic Resonance,MR Hersenen Migraine - MR: 2495,2023-03-16,2542
RAD_ZH00000015_CR,CR Humerus Rechts,Computed Radiography,CR Humerus Rechts - CR: 2397,2023-03-16,2532
RAD_GBIM1_MG,Gewone biopsie + 1 immuno,Mammography,not in wise,2011-11-21,2529
RAD_HUML_MG,RX humerus li,Mammography,RX Humerus Links - DX: 3415; RX humerus li - CR: 2509; RX Humerus Links - CR: 2372; RX humerus li - RF: 4; RX humerus li - DX: 2,2017-09-28,2490
RAD_ZH00000026_CR,CR Teen I II III IV V Links,Computed Radiography,CR Teen I II III IV V Links - CR: 2099;  - CR: 1,2023-03-16,2454
RAD_ZH00000349_MR,MR Hersenen Dementie,Magnetic Resonance,MR Hersenen Dementie - MR: 2428;  - MR: 2,2023-03-16,2451
RAD_HUMR_MG,RX humerus re,Mammography,RX Humerus Rechts - DX: 3946; RX Humerus Rechts - CR: 2839; RX Humerus re - CR: 1561; RX humerus re - CR: 902; RX Humerus re - RF: 5; RX Humerus re - US: 2; RX Humerus re - CT: 1; RX Humerus re - MR: 1,2017-09-29,2451
RAD_CS00000333_US,Echo,Ultra Sound,Echo - US: 2543; Echo - US: 1051; Echotoestel - US: 307,2022-11-28,2448
RAD_ZH00000282_US,Echo Elleboog Links,Ultra Sound,Echo Elleboog Links - US: 2386,2023-03-15,2437
RAD_SLMA_MG,Slokdarm.6CL.Maag 2CL,Mammography,Slokdarm.6CL.Maag 2CL - RF: 1422; Slokdarm Maag - RF: 1179; Slokdarm Maag - CR: 268; Slokdarm Maag - DX: 240; Slokdarm.6CL.Maag 2CL - CR: 144,2017-08-25,2421
RAD_CS00000034_OT,24 uurs holter,Other,not in wise,2023-03-16,2419
RAD_ECTH_MG,Echo thorax,Mammography,Echo thorax - US: 1066; echo thorax - US: 353; Echo thorax - CR: 3; Echo thorax - DX: 1; echo thorax - CR: 1; Echo thorax - CT: 1,2017-09-29,2417
RAD_ZH00000137_CT,CT Maxillo-Faciaal Massief Zonder Contrast,Computed Tomography,CT Maxillo-Faciaal Massief Zonder Contrast - CT: 2179,2023-03-16,2415
RAD_T_DUKL_MG,Duplex Kleur,Mammography,not in wise,2018-04-18,2411
RAD_OAR_MG,RX onderarm re,Mammography,RX Onderarm re - CR: 1396; RX onderarm re - CR: 948; RX Onderarm re - DX: 2,2017-09-29,2407
RAD_ZH00000497_US,Punctie Borst (Anatomopathologie),Ultra Sound,Punctie Borst (Anatomopathologie) - US: 2454; Punctie Borst (Anatomopathologie) - CT: 1,2023-03-16,2394
RAD_6002_MG,NMR HALS THORAX ABDOMEN,Mammography,NMR HALS THORAX ABDOMEN - MR: 2380; NMR HALS THORAX ABDOMEN - PR: 2,2015-10-14,2384
RAD_0000008805_CR,CR Knie Post-OP Links (F/P),Computed Radiography,CR Knie Post-OP Links (F/P) - CR: 2369,2023-03-17,2378
RAD_0000008806_CR,CR Knie Post-OP Rechts (F/P),Computed Radiography,CR Knie Post-OP Rechts (F/P) - CR: 2358,2023-03-16,2361
RAD_ZH00000014_CR,CR Humerus Links,Computed Radiography,CR Humerus Links - CR: 2239;  - CR: 1,2023-03-16,2357
RAD_SLIK_MG,RX slikfunctie,Mammography,RX slikfunctie - RF: 1334; RX slikfunctie - CR: 33; RX slikfunctie - SR: 1; RX slikfunctie - CT: 1,2017-09-29,2357
RAD_PBOR_MG,Punctie borst,Mammography,Punctie borst - US: 355; Punctie borst - MG: 266; Punctie borst - CR: 3; Punctie borst - CT: 1,2017-09-29,2337
RAD_T_GB-_MG,RX Gastricband-,Mammography,not in wise,2016-12-12,2336
RAD_T_DLIDV1_MG,Duplex Veneus Eenzijdig,Mammography,not in wise,2018-01-26,2332
RAD_ZH00000120_MG,MA Mammo Verhoogd Risico,Mammography,MA Mammo Verhoogd Risico - MG: 2926,2023-03-16,2331
RAD_LYSC_MG,Lymfescan,Mammography,Lymfescan - NM: 1654; Lymfescan - MG: 1,2017-09-28,2314
RAD_SCHO_MG,SCHO,Mammography,not in wise,1997-12-31,2306
RAD_ZH00000021_CR,CR Clavicula Rechts,Computed Radiography,CR Clavicula Rechts - CR: 2263;  - CR: 1,2023-03-16,2295
RAD_ZH00005270_CR,CR Voet Links Staande,Computed Radiography,CR Voet Links Staande - CR: 2211;  - CR: 2,2023-03-16,2281
RAD_T_TEER_MG,RX Teen Re,Mammography,not in wise,2018-04-18,2260
RAD_ZH00000268_US,Echo Borsten Verhoogd Risico,Ultra Sound,Echo Borsten Verhoogd Risico - US: 2849,2023-03-16,2256
RAD_ZH00000269_US,Echo Scrotum,Ultra Sound,Echo Scrotum - US: 2241,2023-03-16,2255
RAD_TLPE_MG,Th.scan Persantine,Mammography,Th.scan Persantine - NM: 654; Th.scan Persantine - OT: 19,2010-09-17,2251
RAD_ZH00000323_DX,DX Botdensitometrie  LWZ + Beide Heupen,Digital Radiography,DX Botdensitometrie  LWZ + Beide Heupen - DX: 2273,2023-03-16,2251
RAD_T_NS_MG,RX Neus,Mammography,not in wise,2018-04-17,2247
RAD_ZH00000665_NM,SPECT-CT LWZ,Nuclear Medicine,SPECT-CT LWZ - NM: 1989,2023-03-16,2231
RAD_CBCTHE_MG,CT Accuitomo Radiologie,Mammography,CT Accuitomo Radiologie - CT: 2190; CT Accuitomo Radiologie - CR: 1; CT Accuitomo Radiologie - ES: 1,2016-07-13,2220
RAD_ECSC_MG,Echo scrotum,Mammography,Echo scrotum - US: 1153; echo scrotum - US: 685; Echo scrotum - CR: 2,2017-09-27,2212
RAD_T_CPGA_MG,Consultatie Dr Galvao,Mammography,not in wise,2018-04-19,2196
RAD_CS00000158_EMG,EEG,Electromyography,not in wise,2023-03-16,2175
RAD_ZH00000056_CR,CR Schedel,Computed Radiography,CR Schedel - CR: 2182; CR Schedel - OT: 6;  - CR: 2; CR Schedel - CR: 1,2023-03-16,2174
RAD_ZH00000160_CT,CT Abdomen Inflammatie,Computed Tomography,CT Abdomen Inflammatie - CT: 2081,2023-03-16,2171
RAD_T_ONBL_MG,RX Onderbeen Li,Mammography,not in wise,2018-04-18,2165
RAD_ZH00005272_CR,CR Voet Rechts Staande,Computed Radiography,CR Voet Rechts Staande - CR: 2101; CR Voet Rechts Staande - OT: 1;  - CR: 1,2023-03-15,2159
RAD_T_HWD_MG,RX Halswekedelen,Mammography,not in wise,2018-04-10,2141
RAD_ZH00000045_CR,CR Sacro-Iliacale Gewrichten,Computed Radiography,CR Sacro-Iliacale Gewrichten - CR: 2056,2023-03-16,2130
RAD_ZH00000148_CT,CT LWZ Trauma,Computed Tomography,CT LWZ Trauma - CT: 2046,2023-03-16,2121
RAD_CLAL_MG,RX clavicula li,Mammography,RX clavicula li - CR: 1090; RX Clavicula li - CR: 1041; RX Clavicula Links - DX: 551; RX Clavicula Links - CR: 528; RX Clavicula li - RF: 3; RX clavicula li - US: 2; RX Clavicula li - SR: 1,2017-09-28,2100
RAD_ZH00005105_CT,CT CORONAIREN - Calcium score bepaling (-)/EKG,Computed Tomography,CT CORONAIREN - Calcium score bepaling (-)/EKG - CT: 793; CT Calcium score bepaling (-)/EKG - CT: 697; CT CORONAIREN - Calcium score bepaling (-)/EKG - CT: 596,2023-03-16,2087
RAD_ZH00000119_MG,MA Mammo Rechts,Mammography,MA Mammo Rechts - MG: 2049; MA Mammo Bilateraal - MG: 1,2023-03-16,2070
RAD_MIPE_MG,Myocardscan Persantine,Mammography,Myocardscan Persantine - NM: 1766,2017-09-28,2065
RAD_T_ONBR_MG,RX Onderbeen Re,Mammography,not in wise,2018-04-18,2057
RAD_HWD_MG,Hals weke delen,Mammography,Hals weke delen - CR: 1693; RX Hals Weke Delen - CR: 1143; RX Hals Weke Delen - DX: 817; hals weke delen 2cl - CR: 15; Hals weke delen - US: 1,2017-09-20,2051
RAD_HUM_MG,RX humerus,Mammography,"RX BOVENARM - CR: 229; RX humerus - CR: 76; humerus, bovenarm - CR: 27; RX humerus - MG: 1",2006-04-28,2050
RAD_CSBBS_MG,Echo B. Bergez stadscampus,Mammography,Echo B. Bergez stadscampus - US: 2805,2017-09-28,2046
RAD_TRAN_MG,RX transit,Mammography,RX transit - RF: 465; RX transit - CR: 88; RX transit - XA: 1,2017-09-20,2027
RAD_T_TEEL_MG,RX Teen Li,Mammography,not in wise,2018-04-18,2012
RAD_0000005151_NM,Myocardscintigrafie (Tc99m) Stress Farmaco scan,Nuclear Medicine,Myocardscintigrafie (Tc99m) Stress Farmaco scan - NM: 1992,2023-03-15,1999
RAD_MAM2_MG,RX mammo bilateraal,Mammography,Mammografie Bilateraal - MG: 3696; RX mammo bilateraal - MG: 2804; RXmammo bilateraal - MG: 756; Mammografie Bilateraal - US: 35; RXmammo bilateraal - US: 2; Mammografie Bilateraal - SR: 2; RX mammo bilateraal - US: 1,2017-09-29,1967
RAD_CLAR_MG,RX clavicula re,Mammography,RX Clavicula re - CR: 1035; RX clavicula re - CR: 983; RX Clavicula Rechts - DX: 517; RX Clavicula Rechts - CR: 447; RX Clavicula re - RF: 3; RX Clavicula re - CT: 1,2017-09-29,1965
RAD_ZH00000118_MG,MA Mammo Links,Mammography,MA Mammo Links - MG: 1967,2023-03-15,1955
RAD_T_MRKNIR_MG,MRI Knie Re,Mammography,not in wise,2018-04-17,1939
RAD_T_COLOE_MG,Colo Extern,Mammography,not in wise,2018-04-13,1924
RAD_CSMG_MG,Echo M.Goethals,Mammography,Echo M.Goethals - US: 1916; Echo M.Goethals - SR: 2,2012-12-19,1919
RAD_ZH00000259_US,Echo Lever - Galblaas,Ultra Sound,Echo Lever - Galblaas - US: 1787,2023-03-14,1901
RAD_21_MG,behandelen zonder repositie van fractuur van 1 vin,Mammography,not in wise,1999-06-30,1878
RAD_T_MRKNIL_MG,MRI Knie Li,Mammography,not in wise,2018-04-18,1862
RAD_ZH00005192_NM,Whole body + diagn spect/CT LEDEMATEN scan,Nuclear Medicine,Whole body + diagn spect/CT LEDEMATEN scan - NM: 1483; Whole body + diagn spect/CT LEDEMATEN scan - NM: 368,2023-03-16,1844
RAD_CF_MG,cervixcytologie follow-up,Mammography,not in wise,2011-12-06,1825
RAD_RIBBEN_MG,Ribben,Mammography,Ribben - CR: 1814,2011-03-24,1816
RAD_1236_MG,RIBBEN,Mammography,RIBBEN - CR: 1754,2015-10-14,1807
RAD_CTAR_MG,CT gewricht met arthrografie,Mammography,CT gewricht met arthrografie - CT: 1590; CT gewricht met arthrografie - RF: 22; CT gewricht met arthrografie - CR: 6; CT gewricht met arthrografie - MR: 3; CT gewricht met arthrografie - XA: 1,2017-09-29,1805
RAD_T_GB+_MG,RX Gastricband+ ,Mammography,not in wise,2014-02-17,1803
RAD_CTAF_MG,CTH AX+FRONT 2X10C,Mammography,CTH AX+FRONT 2X10C - CT: 13,2017-01-23,1802
RAD_0000005147_NM,Myocardscintigrafie (Tc99m) rust scan + Ca,Nuclear Medicine,Myocardscintigrafie (Tc99m) rust scan - NM: 1206; Myocardscintigrafie (Tc99m) rust scan + Ca - NM: 586,2023-03-10,1793
RAD_TER_MG,RX Teen/voorvoet rechts,Mammography,RX Teen/voorvoet rechts - CR: 1675; RX Teen/voorvoet rechts - US: 3,2017-09-29,1792
RAD_1162_MG,CLAVICULA,Mammography,CLAVICULA - CR: 1654,2015-10-12,1788
RAD_ZH00000136_CT,CT Sinussen,Computed Tomography,CT Sinussen - CT: 1668,2023-03-16,1786
RAD_KMIM4_MG,Kleine Macroscopie + 4 immuno's,Mammography,not in wise,2011-11-18,1772
RAD_ZH00000409_MR,MR Pancreas Coöperatief,Magnetic Resonance,MR Pancreas Coöperatief - MR: 1799,2023-03-16,1757
RAD_SCOPIE_MG,Scopie in operatiezaal,Mammography,Scopie in operatiezaal - XA: 1969; Scopie in operatiezaal - SR: 19; Scopie in operatiezaal - RTIMAGE: 1,2017-09-28,1757
RAD_T_VOAL_MG,RX Voorarm Li,Mammography,not in wise,2018-04-16,1755
RAD_ZH00000128_CT,CT Hersenen Standaard Zonder/Met Contrast,Computed Tomography,CT Hersenen Standaard Zonder/Met Contrast - CT: 1685; Studie: niet ten laste van patiënt - CT: 1,2023-03-16,1751
RAD_T_SLMA_MG,Slokdarm-Maag,Mammography,not in wise,2018-03-06,1751
RAD_MYEL-OLD_MG,LUMBALE MYELO 4C,Mammography,not in wise,2001-06-01,1749
RAD_CTCOR_MG,CT Coronaro,Mammography,CT Coronaro - CT: 1998,2017-09-29,1735
RAD_SBIM4_MG,Superbiopsie + 4 immuno's,Mammography,not in wise,2011-11-18,1733
RAD_CBBETT_MG,CT Accuitomo Bettens,Mammography,CT Accuitomo Bettens - CT: 1677; CT Accuitomo Bettens - SC: 39; CT Accuitomo Bettens - DX: 1,2015-07-30,1733
RAD_CT GEWRI_MG,CT GEWRICHT (10),Mammography,not in wise,2011-03-24,1732
RAD_ZH00000166_CT,CT Pancreas,Computed Tomography,CT Pancreas - CT: 1728,2023-03-14,1727
RAD_CSGHS_MG,Echo G. Hollanders stadscampus,Mammography,Echo G. Hollanders stadscampus - US: 2409,2017-09-28,1727
RAD_ERC+_MG,Ercp + papillotomie,Mammography,ERCP + papillotomie hosp - RF: 991; ERCP + papillotomie hosp - XA: 342; Ercp + papillotomie - RF: 21; Ercp + papillotomie - CR: 1,2017-09-27,1726
RAD_T_CMAHE_MG,Consultatieruimte Dr Maes,Mammography,not in wise,2018-04-19,1725
RAD_ZH00005419_US,Echo abdomen (adhoc) D,Ultra Sound,Echo abdomen (adhoc) D - US: 1391; Echo abdomen (adhoc) D - US: 647,2023-03-14,1725
RAD_ZH00005191_NM,Whole body + diagn spect/CT LEDEMATEN inj,Nuclear Medicine,Whole body + diagn spect/CT LEDEMATEN inj - NM: 1381; Whole body + diagn spect/CT LEDEMATEN inj - NM: 350; Whole body + diagn spect/CT LEDEMATEN inj - OT: 71,2023-03-16,1725
RAD_CLAVICUL_MG,Sleutelbeen,Mammography,not in wise,2011-03-22,1721
RAD_1201_MG,ONDERBEEN,Mammography,ONDERBEEN - CR: 1607,2015-10-14,1713
RAD_1667_MG,CT GEWRICHT (10),Mammography,CT GEWRICHT (10) - CT: 1653; CT GEWRICHT (10) - RF: 1; CT GEWRICHT (10) - MG: 1,2015-10-14,1693
RAD_T_EURO_MG,Echo Urinair,Mammography,not in wise,2018-04-19,1689
RAD_EMAR_MG,echo meerdere anat regio's,Mammography,echo meerdere anat regio's - US: 767; echo meerdere anat regio's - US: 651; echo meerdere anat regio's - CR: 4; echo meerdere anat regio's - MG: 1,2017-09-19,1686
RAD_ZH00000178_CT,CT Thorax-Abdomen Blanco,Computed Tomography,CT Thorax-Abdomen Restaging  Zonder Contrast - CT: 861; CT Thorax-Abdomen Blanco - CT: 850;  - CT: 2; Studie: niet ten laste van patiënt - CT: 1,2023-03-16,1682
RAD_MB2_MG,Minibiopsie 2x,Mammography,not in wise,2011-11-21,1675
RAD_ZH00005033_MR,MR Fossa Posterior,Magnetic Resonance,MR Fossa Posterior - MR: 1663,2023-03-16,1674
RAD_ONDERBEE_MG,ONDERBEEN,Mammography,not in wise,2011-03-24,1650
RAD_ZH00000156_CT,CT Thorax Hoge Resolutie,Computed Tomography,CT Thorax Hoge Resolutie - CT: 1686;  - CT: 1,2023-03-16,1643
RAD_CBCTFA_MG,CBCT Faciaal Massief,Mammography,CBCT Faciaal massief - CT: 1730; CBCT Faciaal Massief - CT: 742,2017-09-29,1636
RAD_0000008804_CT,CT Hersenen Stroke zonder Perfusie,Computed Tomography,CT Hersenen Stroke zonder Perfusie - CT: 1620,2023-03-16,1633
RAD_TEL_MG,RX teen/voorvoet li,Mammography,RX Teen/voorvoet li - CR: 817; RX teen/voorvoet li - CR: 693; RX voorvoet/Teen li - CR: 9; RX Teen/voorvoet li - US: 2; RX Teen/voorvoet li - SR: 1,2017-09-28,1630
RAD_1751_MG,MAMMOGRAFIE,Mammography,MAMMOGRAFIE - MG: 1624,2015-10-14,1624
RAD_T_CEA_MG,Consultatie Dr Dhondt,Mammography,not in wise,2018-04-06,1600
RAD_DUBV_MG,Duplex lidmaat bilateraal,Mammography,Duplex lidmaat bilateraal - US: 1794,2017-09-29,1599
RAD_ZH00000181_CT,CT Trauma - Hersenen + CWZ,Computed Tomography,CT Trauma - Hersenen + CWZ - CT: 1469; CT Polytrauma - Hersenen + CWZ - CT: 91; CT Hersenen + CWZ - CT: 2,2023-03-16,1593
RAD_DUAB_MG,duplex TH/ABD/BEK,Mammography,duplex TH/ABD/BEK - US: 540,2017-09-21,1592
RAD_STE_MG,RX sternum,Mammography,RX Sternum - CR: 895; RX sternum - CR: 487; RX sternum - RF: 1; RX Sternum - RF: 1,2017-09-26,1592
RAD_ZH00000347_MR,MR Hersenen Metastase,Magnetic Resonance,MR Hersenen Metastase - MR: 1573,2023-03-16,1591
RAD_ZH00005464_US,Fibroscan,Ultra Sound,Fibroscan - US: 1142; Fibroscan - US: 555,2023-03-14,1584
RAD_ZH00000046_CR,CR Sacrum/Coccyx,Computed Radiography,CR Sacrum/Coccyx - CR: 1526;  - CR: 1,2023-03-15,1581
RAD_ZH00000298_US,Echo Onderbeen Links,Ultra Sound,Echo Onderbeen Links - US: 1522,2023-03-16,1577
RAD_ZH00000139_CT,CT Rotsbeenderen,Computed Tomography,CT Rotsbeenderen - CT: 1555,2023-03-16,1564
RAD_BBEE_MG,RX Bovenbeen,Mammography,RX BOVENBEEN - CR: 317; RX Bovenbeen - CR: 84; bovenbeen - CR: 21,2006-04-28,1564
RAD_T_ABURO_MG,RX Abdomen Uro,Mammography,not in wise,2017-10-02,1556
RAD_ZH00000464_MR,MR Bekken Pubalgie,Magnetic Resonance,MR Bekken Pubalgie - MR: 1480; MR Bekken Pubalgie - MR: 1,2023-03-16,1553
RAD_ARTHROGR_MG,arthro,Mammography,not in wise,2011-03-24,1532
RAD_NCTWZ_MG,CT Wervelzuil,Mammography,CT Wervelzuil - NM: 88; CT Wervelzuil - CT: 4; CT Wervelzuil - CR: 1,2017-09-29,1528
RAD_CWZ4_MG,CWZ4,Mammography,not in wise,2004-12-20,1518
RAD_1310_MG,SMD,Mammography,SMD - RF: 1461; SMD - CR: 12,2015-10-08,1517
RAD_T_VOAR_MG,RX Vooram Re,Mammography,not in wise,2018-04-17,1509
RAD_ZH00000401_MR,MR MRCP Coöperatief,Magnetic Resonance,MR MRCP Coöperatief - MR: 1411,2023-03-16,1505
RAD_SCHEDEL_MG,Schedel,Mammography,Schedel - CR: 1498,2011-03-24,1504
RAD_1171_MG,TEEN,Mammography,TEEN - CR: 1322,2015-10-13,1503
RAD_ZH00000299_US,Echo Onderbeen Rechts,Ultra Sound,Echo Onderbeen Rechts - US: 1437,2023-03-16,1495
RAD_ZH00000312_US,Duplex-Dopler Onderste Lidmaten Art. Bilateraal,Ultra Sound,Duplex-Dopler Onderste Lidmaten Art. Bilateraal - US: 1434; Duplex-Dopler Onderste Lidmaten Arterieel - US: 39,2023-03-14,1492
RAD_0000008503_US,TEE + reconversie Rumbeke,Ultra Sound,TEE + reconversie - US: 90,2023-03-16,1484
RAD_SB2_MG,Superbiopsie 2x,Mammography,not in wise,2011-11-21,1470
RAD_N1665_MG,CT WERVELZUIL,Mammography,CT WERVELZUIL - NM: 28,2015-10-14,1462
RAD_1248_MG,DORSAAL,Mammography,DORSAAL - CR: 1205; DORSAAL - RF: 5; DORSAAL - CT: 1,2015-10-14,1459
RAD_T_FEML_MG,RX Femur Li,Mammography,not in wise,2018-04-11,1455
RAD_ZH00000270_US,Echo Axillae,Ultra Sound,Echo Axillae - US: 1238;  - US: 1,2023-03-16,1455
RAD_ZH00000094_CR,CR Slokdarm + Maag + Duodenum (SMD),Computed Radiography,CR Slokdarm + Maag + Duodenum (SMD) - CR: 1438,2023-03-15,1441
RAD_6007I_MG,NMR LIDMAAT (IZEGEM),Mammography,NMR LIDMAAT (IZEGEM) - MR: 1429,2015-10-13,1437
RAD_T_CNM_MG,Consultatie Dr Naessens,Mammography,not in wise,2018-04-18,1432
RAD_0000008502_ECG,Holter 24 torhout,Electrocardiography,not in wise,2022-12-12,1420
RAD_ZH00000179_CT,CT Polytrauma - Total Body,Computed Tomography,CT Polytrauma - Total Body - CT: 1385; CT Total Body - CT: 15,2023-03-16,1404
RAD_DORSAAL_MG,DWZ,Mammography,DWZ - CR: 1395,2011-03-25,1397
RAD_ECHOHN_MG,Echo Cardio Menen Nachtergaele,Mammography,Echo Cardio Menen Nachtergaele - US: 1969,2017-09-28,1390
RAD_ZH00005239_US,echo nier/retroperitoneum,Ultra Sound,echo nier/retroperitoneum - US: 1489; echo nier/retroperitoneum - US: 229,2023-03-16,1379
RAD_ZH00000164_CT,CT Abdomen Zonder Contrast Nierinsufficientie,Computed Tomography,CT Abdomen Zonder Contrast Nierinsufficientie - CT: 1325,2023-03-15,1378
RAD_0000008793_GM,Microscoop,General Microscopy,Microscoop - GM: 1967; Microscoop - GM: 1677,2022-05-29,1377
RAD_ZH00005190_NM,Whole body + diagn spect/CT WERVELZUIL scan,Nuclear Medicine,Whole body + diagn spect/CT WERVELZUIL scan - NM: 1065; Whole body + diagn spect/CT WERVELZUIL scan - NM: 324,2023-03-16,1368
RAD_8500_MG,DENS1500/-,Mammography,DENS1500/- - OT: 1357; DENS1500/- - CR: 1,2014-03-10,1361
RAD_ZH00000129_CT,CT Hersenen Standaard Met Contrast,Computed Tomography,CT Hersenen Standaard Met Contrast - CT: 1352,2023-03-15,1354
RAD_ZH00000277_US,Echo Hand Rechts,Ultra Sound,Echo Hand Rechts - US: 1312,2023-03-16,1353
RAD_T_CCX_MG,Consultatie Dr Verhaert,Mammography,not in wise,2018-04-19,1334
RAD_ZH00005446_CT,CT Knie Rechts MAKO-Protocol,Computed Tomography,CT Knie Rechts MAKO-Protocol - CT: 1355,2023-03-16,1333
RAD_ZH00000186_CT,CT AAA,Computed Tomography,CT AAA - CT: 1411,2023-03-16,1332
RAD_ZH00000554_DX,Botdensitometrie Terugbetaald,Digital Radiography,Botdensitometrie Terugbetaald - DX: 1319; Botdensitometrie Terugbetaald - OT: 1094,2023-03-16,1325
RAD_ZH00000145_CT,CT DWZ Standaard,Computed Tomography,CT DWZ Standaard - CT: 1213,2023-03-15,1325
RAD_ZH00000007_CR,CR Hand Botleeftijd,Computed Radiography,CR Hand Botleeftijd - CR: 1333; CR Hand Botleeftijd - OT: 3;  - CR: 1,2023-03-15,1317
RAD_ZH00000149_CT,CT LWZ Postop PLIF,Computed Tomography,CT LWZ Postop PLIF - CT: 1325,2023-03-16,1315
RAD_FCTLWZ_MG,Facetinfiltratie LWZ,Mammography,Facetinfiltratie LWZ - CR: 1048; Facetinfiltratie LWZ - RF: 241,2008-01-07,1311
RAD_ZH00000184_CT,CT Halsvaten,Computed Tomography,CT Halsvaten - CT: 1257,2023-03-16,1310
RAD_ZH00000663_NM,SPECT-CT CWZ,Nuclear Medicine,SPECT-CT CWZ - NM: 1202,2023-03-16,1306
RAD_ZH00000302_US,Echo Femur Links,Ultra Sound,Echo Femur Links - US: 1285,2023-03-16,1304
RAD_T_SEK_MG,Toeslag EKG/BA/ASP/TR,Mammography,not in wise,2018-04-05,1300
RAD_CDROM_MG,opgeladen cd,Mammography,opgeladen cd - XA: 1299; opgeladen cd - US: 30; opgeladen cd - CR: 5; opgeladen cd - CT: 2,2017-09-28,1297
RAD_T_FEMR_MG,RX Femur Re,Mammography,not in wise,2018-04-16,1291
RAD_ZH00005037_OT,PM controle,Other,not in wise,2023-03-16,1286
RAD_ZH00000303_US,Echo Femur Rechts,Ultra Sound,Echo Femur Rechts - US: 1242,2023-03-16,1282
RAD_SBIM3_MG,Superbiopsie + 3 immuno's,Mammography,not in wise,2011-11-23,1279
RAD_ZH00000346_MR,MR Hersenen Tumor Perfusie,Magnetic Resonance,MR Hersenen Tumor Perfusie - MR: 1287,2023-03-15,1257
RAD_ZH00000266_US,Echo Thorax,Ultra Sound,Echo Thorax - US: 1160,2023-03-15,1249
RAD_ZH00000314_US,Duplex-Dopler Onderste Lidmaat Arterieel Rechts,Ultra Sound,Duplex-Dopler Onderste Lidmaat Arterieel Rechts - US: 1159,2023-03-16,1247
RAD_ZH00005085_NM,Whole body met SPECT en diagnostische CT inj,Nuclear Medicine,Whole body met SPECT en diagnostische CT inj - NM: 1231; Whole body met SPECT en diagnostische CT inj - OT: 934; Whole body met SPECT en diagnostische CT inj - CT: 1; Whole body met SPECT en diagnostische CT inj - MG: 1,2023-03-16,1235
RAD_T_CLAL_MG,RX Clavicula Li,Mammography,not in wise,2018-04-16,1224
RAD_ZH00000306_US,Duplex-Dopler Carotiden,Ultra Sound,Duplex-Dopler Carotiden - US: 1201,2020-08-31,1215
RAD_ZH00005445_CT,CT Knie Links MAKO-Protocol,Computed Tomography,CT Knie Links MAKO-Protocol - CT: 1232,2023-03-16,1211
RAD_GBIM4_MG,Gewone biopsie + 4 immuno's,Mammography,not in wise,2011-11-17,1198
RAD_ZH00000509_US,Punctie Lymfeklier,Ultra Sound,Punctie Lymfeklier - US: 1203; Punctie Lymfeklier - CT: 10; Punctie Lymfeklier - XA: 2,2023-03-16,1196
RAD_ZH00000334_MR,MR Cardio Standaard / Viabiliteit,Magnetic Resonance,MR Cardio Standaard / Viabiliteit - MR: 1282;  - MR: 1,2023-03-15,1194
RAD_0000005168_MR,MR Craniale Zenuwen - Nervus facialis & vestibulo,Magnetic Resonance,MR Craniale Zenuwen - Nervus facialis - MR: 1039; MR Craniale Zenuwen - Nervus facialis - MR: 94,2023-03-16,1192
RAD_ZH00000276_US,Echo Hand Links,Ultra Sound,Echo Hand Links - US: 1133,2023-03-16,1178
RAD_CLAV_MG,CLAV,Mammography,not in wise,1998-12-31,1174
RAD_ZH00000263_US,Echo Schedelinhoud,Ultra Sound,Echo Schedelinhoud - US: 1162,2023-03-16,1172
RAD_ZH00000458_MR,MR Heup Unilateraal Rechts,Magnetic Resonance,MR Heup Unilateraal Rechts - MR: 1078,2023-03-16,1159
RAD_0000008658_OT,CR EOS Onderste Ledematen / lengtemeting,Other,CR EOS Onderste Ledematen / lengtemeting - DX: 778; CR EOS Onderste Ledematen / lengtemeting - OT: 321; CR EOS Onderste Ledematen / lengtemeting - CR: 13; CR EOS Full Leg - OT: 1,2023-03-15,1152
RAD_HYST_MG,RX hysterografie,Mammography,RX hysterografie - RF: 323; RX hysterografie - CR: 273,2017-09-29,1150
RAD_ZH00000457_MR,MR Heup Unilateraal Links,Magnetic Resonance,MR Heup Unilateraal Links - MR: 1091,2023-03-16,1145
RAD_CORPO_MG,CORONARO POST-OP,Mammography,CORONARO POST-OP - XA: 1216; CORONARO POST-OP - SR: 1,2017-09-26,1139
