source_code,source_term,source_frequency
RAD_TEER,TEE + Reconversie,1298
RAD_0000008808,Consultatie audioloog,1293
RAD_T_FEMR,RX Femur Re,1292
RAD_SBIM3,Superbiopsie + 3 immuno's,1279
RAD_ZH00000303,Echo Femur Rechts,1275
RAD_ZH00000509,Punctie Lymfeklier,1272
RAD_ZH00000346,MR Hersenen Tumor Perfusie,1256
RAD_ZH00000266,Echo Thorax,1252
RAD_ZH00000314,Duplex-Dopler Onderste Lidmaat Arterieel Rechts,1246
RAD_ZH00005223,Fitting BAHA / CI,1242
RAD_CORPO,CORONARO POST-OP,1229
RAD_T_CLAL,RX Clavicula Li,1224
RAD_ZH00000522,Plaatsen PICC,1220
RAD_ZH00000306,Duplex-Dopler Carotiden,1217
RAD_AB,ARTHREX Brugsestwg,1212
RAD_BDN,Botdensitometrie Nomenclatuur,1211
RAD_ZH00005445,CT Knie Links MAKO-Protocol,1208
RAD_0000005168,MR Craniale Zenuwen - Nervus facialis & vestibulo,1199
RAD_GBIM4,Gewone biopsie + 4 immuno's,1198
RAD_ZH00000334,MR Cardio Standaard / Viabiliteit,1181
RAD_HYST,RX hysterografie,1177
RAD_ZH00000276,Echo Hand Links,1175
RAD_CLAV,CLAV,1174
RAD_ZH00000263,Echo Schedelinhoud,1170
RAD_THI,Therapie I 131,1166
RAD_TLFI,Thalliumscan fiets,1164
RAD_ECVB,Echo vrouwelijk bekken,1164
RAD_ZH00000458,MR Heup Unilateraal Rechts,1161
RAD_0000008658,CR EOS Onderste Ledematen / lengtemeting,1156
RAD_ZH00000457,MR Heup Unilateraal Links,1151
RAD_T_EXTOE,Extern Uitgevoerde Onderzoeken,1141
RAD_CS00000046,6 - min wandeltest,1133
RAD_ZH00000050,CR LWZ + Flexie/Extentie,1133
RAD_ZH00000275,Echo Vinger Rechts,1123
RAD_ZH00000165,CT Lever,1122
RAD_0000008509,Positioneringstesten,1119
RAD_CS00000195,SSEP onderste extremiteiten,1112
RAD_LVE,Longventilatie,1108
RAD_ZH00000333,MR Angio Onderste Ledematen,1107
RAD_ZH00000173,CT Hals-Thorax,1105
RAD_0000008604,CR EOS Wervelzuil / 3D Full Spine,1101
RAD_ZH00005082,3-fasen skeletscintigrafie scan,1092
RAD_0000008674,Echo Buikwand,1091
RAD_ZH00005081,3-fasen skeletscintigrafie inj,1090
RAD_ZH00000555,Botdensitometrie,1085
RAD_T_CLAR,RX Clavicula Re,1080
RAD_K,Knie,1078
RAD_SNM,Smith & Nephew Menen,1077
RAD_1702,ECHO HALS,1074
RAD_1221,FEMUR,1074
RAD_MAG3,Nierscan MAG3/DTPA,1072
RAD_1131,VOORARM,1072
RAD_EG,Echo gastro SC,1067
RAD_ZH00000416,MR Cervix/Uterus/Endometrium,1066
RAD_ZH00000222,CT Arthro  Schouder Rechts,1063
RAD_0000008769,ESWL Rumbeke,1063
RAD_PBCB,Punctie Borst core biopsie,1056
RAD_CORR,CORONARO EN RECHTER HART,1052
RAD_T_EHEUP1,Echo Heup Unilateraal,1046
RAD_0000008542,CR Arthro Schouder Rechts (CT),1043
RAD_CLA,RX Clavicula,1043
RAD_ZH00005244,duplex veneus OL/BL,1033
RAD_ZH00000057,CR Neus,1033
RAD_1352,MAMMOGRAFIE,1018
RAD_ZH00000313,Duplex-Dopler Onderste Lidmaat Arterieel Links,1009
RAD_ZH00005219,Akoestische rhinometrie,1008
RAD_FEMUR,Femur-obeen,1003
RAD_CSBB,Echo B. Bergez,1001
RAD_MAAG,Maaglediging,998
RAD_DUBA,bilaterale duplex arteriele bloedvaten,994
RAD_ZH00000154,CT Thorax Low Dose,988
RAD_1660,CT HALS,986
RAD_0000008790,Spraak in ruis test,983
RAD_DLME,echo&duplex lidmaat,980
RAD_ZH00000446,MR Hand/Pols Standaard Rechts,978
RAD_0000008550,Pacemaker VVI,971
RAD_ZH00000379,MR Hals Standaard,966
RAD_ZH00000477,MR Voorvoet Standaard Links,962
RAD_0000008593,Echo Klierstreken,961
RAD_CT ABDOM,CT ABDOMEN,960
RAD_CAROTIDE,CAROTIDEN + VERTEBRALIS,960
RAD_ZH00000478,MR Voorvoet Standaard Rechts,959
RAD_1718,CAROTIDEN + VERTEBRALIS,951
RAD_ZH00000055,CR Scannografie Onderste Ledematen As,948
RAD_T_CANGIO,CT Angio,945
RAD_T_CDENTA,CT Dentascan,943
RAD_CS00000196,MEP bovenste extremiteiten,943
RAD_CS00000002,OPG,943
RAD_1234,SIGEWRICHT,942
RAD_T_CKNIR,CT Knie Re,939
RAD_T_DCAV,Duplex Car & Vert,936
RAD_T_DLIDV2,Duplex Veneus Tweezijdig,935
RAD_ZH00000180,CT Trauma - Hersenen + MFM,929
RAD_ZH00000274,Echo Vinger Links,929
RAD_VIRCOL,Virt. colonscopie enkel,926
RAD_ZH00005087,Longventilatie en -perfusie met SPECT/CT inh,925
RAD_KM2,Kleine Macroscopie 2x,923
RAD_MIFI,Myocardscan fiets,922
RAD_SMIM4,Supermakroscopie + 4 immuno's,922
RAD_ERCP,ERCP,918
RAD_ZH00000498,Punctie Borst (Cytologie),916
RAD_BEK2,BEK2,902
RAD_VOORARM,Voorarm(en),901
RAD_0000008792,Myocardscintigrafie (Tc99m) rust scan,901
RAD_DUUA,Duplex unilateraal arterieel,891
RAD_ZH00005111,"CT HART - Pre ablatie (-,+)/EKG",889
RAD_0000005145,Dopamine transporter SPECT scan,888
RAD_0000005144,Dopamine transporter SPECT inj,887
RAD_ZH00000241,Conebeam Bovenkaak,887
RAD_T_ECH2,Echo 2,887
RAD_ZH00005088,Longventilatie en -perfusie met SPECT/CT scan,885
RAD_T_CKNIL,CT Knie Li,882
RAD_ZH00000343,MR Hersenen Vertigo,878
RAD_DOPA,Dopamine transporter SPECT-scintigrafie,869
RAD_SIGEWRIC,SIG,868
RAD_T_MRROTS,MRI Rotsbeenderen,867
RAD_AAOL-OLD,ART.AO + OND.LED.,867
RAD_ESCH,Echo schedelinhoud,867
RAD_0000008592,Studie: niet ten laste van patiënt,861
RAD_ZH00000199,CT Schouder Rechts,859
RAD_T_MRABD,MRI Abdomen,850
RAD_ZH00000208,CT Heup Rechts,849
RAD_ZH00000348,MR Hersenen Epilepsie,844
RAD_1151,HUMERUS,842
RAD_ZH00005273,CR Enkel Links Staande,841
RAD_T_ESCH,Echo Schedel,840
RAD_ZH00000207,CT Heup Links,839
RAD_T_ELG,Echo Lever-Galblaas,834
RAD_T_CTH-,CT Thorax -,832
RAD_T_EKNIE1,Echo Knie Unilateraal,830
RAD_ZH00000445,MR Hand/Pols Standaard Links,828
RAD_ZH00000146,CT DWZ Trauma,826
RAD_NMR HALS,NMR HALS THORAX,825
RAD_ZH00005275,CR Enkel Rechts Staande,823
RAD_ZH00000360,MR Hersenen Hypofyse Micro,823
RAD_HUMERUS,Humerus,822
RAD_XTOFIX,Echo cardiologie,819
RAD_ZH00005188,"Spiro, volumes en reversibiliteit",816
RAD_ZH00000387,MR CWZ MS,814
RAD_ZH00000150,CT SIG Standaard,811
RAD_ZH00000488,Onderzoek Onder Narcose,810
RAD_BDP,Botdensitometrie pseudonummer,809
RAD_ZH00000211,CT Knie Links,809
RAD_N1666,CT LIDMAAT,801
RAD_ZH00000091,CR Slikfunctie,800
RAD_T_MAM1,Mammografie 1,799
RAD_ZH00000198,CT Schouder Links,793
RAD_T_SMD,Slokd-Maag-Du,792
RAD_M201,kl.macro + kl.micro,789
RAD_ZH00000490,MR Pediatrie Hersenen >2jr,785
RAD_ZH00000350,MR Hersenen Parkinson,777
RAD_ECNB,echo nier en blaas,776
RAD_ZH00000086,CR Sternum,776
RAD_EUS,EUS,767
RAD_1732,UNILATER DUPLEX VENEUZE ONDERSTE OF BOVENSTE LIDM,766
RAD_ZH00000221,CT Arthro Schouder Links,764
RAD_T_CDWZ,CT Dorsale Wervelzuil,762
RAD_COLD,RX colon dubbel contrast,760
RAD_WBSPRCT,Whole body SPECT en diagn CT,760
RAD_SECTRA,Onderzoeken Sectra,759
RAD_ZH00000317,Duplex-Dopler Bovenste Lidmaat Veneus Rechts,758
RAD_ZH00000161,CT Abdomen Bloeding,748
RAD_T_CAOL,CT Angio Onderste Ledematen,747
RAD_ZH00000212,CT Knie Rechts,746
RAD_0000008541,CR Arthro Schouder Links (CT),744
RAD_EMBO,embolisatie,744
RAD_ZH00000440,MR Elleboog Standaard Rechts,743
RAD_ZH00000273,Echo Duim Rechts,740
RAD_T_CROTS,CT Rotsbeenderen,739
RAD_ZH00000069,CR Arthro Heup Rechts,739
RAD_0000008571,Echo blaas en nieren,737
RAD_ZH00000218,CT Enkel Rechts,734
RAD_PTCA1,PTCA 1 TAK,732
RAD_ZH00005243,duplex carotiden + vertebralis,730
RAD_1707,ECHO NIER/BLOEDVATEN,730
RAD_41,1x niet cx-uitstr.+celbl.,722
RAD_ZH00000272,Echo Duim Links,719
RAD_ZH00000351,MR Hersenen Trauma,718
RAD_ZH00000316,Duplex-Dopler Bovenste Lidmaat Veneus Links,717
RAD_1235,SCANIOMETRIE,717
RAD_ZH00000308,Duplex-Dopler Abdomen/Pelvis (oa. AAA),716
RAD_SIN,RX sinussen,710
RAD_ZH00000183,CT Circ. Van Willis,709
RAD_ECZW,echo zwangerschap,708
RAD_ZH00005034,MR Circulus van Willis,707
RAD_0000005148,Myocardscintigrafie (Tc99m) Stress Fiets inj,707
RAD_0000005149,Myocardscintigrafie (Tc99m) Stress Fiets scan,704
RAD_GB3,Gewone biopsie 3x,700
RAD_ZH00000242,Conebeam Onderkaak,699
RAD_KMIM3,Kleine Macroscopie + 3 immuno's,698
RAD_ZH00000438,MR Lidmaat Rechts,694
RAD_ZH00000437,MR Lidmaat Links,688
RAD_PLON,Punctie long,687
RAD_T_EKLV,Echo Klein Bekken V,686
RAD_ZH00000202,CT Pols Links,685
RAD_ZH00000217,CT Enkel Links,683
RAD_ZH00000421,MR Rectum,678
RAD_CWZ3,CWZ3,675
RAD_6005,NMR BEIDE MAMAE,674
RAD_0000008765,TEE - Klepfunctie / kunstklep / bioklep / plas RUM,673
RAD_T_FSP,RX Full Spine,671
RAD_ZH00000686,SPECT-CT Voet Links,671
RAD_THORAX/A,THORAX/ABDOMEN/PELVIS,671
RAD_SB2I4,2 x superbiopsie + 4 immuno's,670
RAD_ZH00000415,MR Ovariële Massa,670
RAD_0000008751,Shearwave,670
RAD_CS00000106,Metacholine/histamine provocatietest,669
RAD_FULL SPI,SPINE,667
RAD_KMIM2,Kleine Macroscopie + 2 immuno's,663
RAD_AVKFCN,ABLATIE VKF (CARTO)  + NARCOSE,662
RAD_ZH00000167,CT Nieren,658
RAD_ZH00005225,Rhinomanometrie,657
RAD_T_TRX2,RX Teleradiografie,656
RAD_ZH00000687,SPECT-CT Voet Rechts,651
RAD_T_OK_DEF,Ingreep (niet gedefinieerd),648
RAD_ZH00000109,CR Cystografie + Permictionele Opnames,648
RAD_DUPL ABD,DUPL ABD,647
RAD_T_MRSCHR,MRI Schouder Re,639
RAD_CTHATH,CT Hals en Thorax,638
RAD_ECHO HAL,ECHO HALS,637
RAD_CT HALS,CT HALS,635
RAD_IVDP,IVDSA PERIFERE INJ,635
RAD_T_ESCR,Echo Scrotum,633
RAD_CWZ2,CWZ2,631
RAD_ZH00005214,VEMP,629
RAD_DMSA,Nierscan met DMSA,627
RAD_GBIM3,Gewone biopsie + 3 immuno's,625
RAD_ZH00000463,MR Heup Arthro Rechts,624
RAD_ZH00000203,CT Pols Rechts,623
RAD_AAOL,Art. ao + ond. led.,621
RAD_T_MRDWZ,MRI Dorsale Wervelzuil,618
RAD_GBIM2,Gewone biopsie + 2 immuno's,618
RAD_ZH00005407,MR Nieren,610
RAD_ZH00000503,Punctie Borst + Harpoenplaatsing op echo,610
RAD_ZH00000423,MR Entero,608
RAD_NSE,RX nierstreek,607
RAD_0000008707,Sentinel Borst SPECT/CT (LDCT) scan,605
RAD_AXPE,RX axiaal skelet + prox extr,605
RAD_ZH00000068,CR Arthro Heup Links,605
RAD_SMDT,RX SMDT 16cl,605
RAD_ZH00000175,CT Thorax-Abdomen Trauma/Bloeding,604
RAD_0000008716,Schildklierscan Tc99m met SPECT/CT (LDCT) scan,604
RAD_0000008705,Schildklierscan Tc99m met SPECT/CT (LDCT) inj,603
RAD_T_MRMAM,MRI Borst  R L ,603
RAD_ZH00000219,CT Voet Links,600
RAD_ZH00000023,CR AC-Gewricht Rechts,600
RAD_T_IVP,RX IVP,598
RAD_S,Schouder,597
RAD_ZH00000102,CR Colpo-Cysto-Defaecografie (CCD),596
RAD_0000008791,CT Cardio NG,594
RAD_1261,FULL SPINE 1,593
RAD_6006I,NMR WERVELZUIL(IZEGEM),593
RAD_AP,Arteriografie peroperatief,591
RAD_0000008706,Sentinel Borst SPECT/CT (LDCT) inj,591
RAD_BLWZ,BLWZ,587
RAD_ZH00000220,CT Voet Rechts,586
RAD_1652,CT SINUSSEN,585
RAD_CATRL,RECHTER HART ZONDER COR,579
RAD_T_CKLB-,CT Klein Bekken -,577
RAD_CYSTOG +,CYSTO,577
RAD_ZH00000448,MR Pols TFCC Rechts,574
RAD_ZH00005074,Schildklierscintigrafie inj,570
RAD_T_MRKLB,MRI Klein Bekken,570
RAD_T_CYS,Cystografie,566
RAD_ZH00000507,Punctie Long,565
RAD_2,Echo URINAIR,565
RAD_SBIM2,Superbiopsie + 2 immuno's,564
RAD_ZH00005122,CR Heup + Cross table rechts,560
RAD_T_SEKA,EKG+ saturatie,560
RAD_ZH00000255,Echo Vrouwelijk Bekken,559
RAD_ZH00000654,Borstklierinspuiting,559
RAD_PSCHCI,Schildklierpunctie voor cyto,557
RAD_ZH00000439,MR Elleboog Standaard Links,555
RAD_ZH00000495,Punctie Ascites,555
RAD_0000008545,Punctie gewricht,554
RAD_0000008764,TEE - Endocarditis Rumbeke,549
RAD_ZH00000385,MR CWZ Postop,548
RAD_T_PUDR1,Punctie en drainage +,547
RAD_AA,Aneurysma Aorta,546
RAD_ZH00000182,CT Trauma - Thorax-Abdomen,544
RAD_ZH00005199,Duplex halsvaten en vertebrales (adhoc) E,544
RAD_ZH00005075,Schildklierscintigrafie scan,541
RAD_T_ARTHN,Arthrografie,541
RAD_T_EENKEL,Echo Enkel Unilateraal,540
RAD_ZH00000022,CR AC-Gewricht Links,537
RAD_T_MRBEK,MRI Bekken MSK,534
RAD_ZH00000462,MR Heup Arthro Links,534
RAD_0000008763,TEE - Emboliebron Rumbeke,533
RAD_CA2,Cytologie andere 2x,532
RAD_ZH00000142,CT Dental Nobelguide,530
RAD_ZH00000019,CR Scapula Rechts,530
RAD_T_EVOET1,Echo Voet Unilateraal,528
RAD_DPMI,DDD-PACEMAKER-IMPLANTATIE,527
RAD_201,makro + 1x biopsie,526
RAD_ZH00000176,CT Thorax-Abdomen + Longembolen,524
RAD_ZH00000398,MR Full Spine (bij specif. oncologische path.),521
RAD_0000008573,Echo cardiografie,521
RAD_TBSPECT/,SPECT^07_SPECT_Sentinel (Adult),518
RAD_1824,CB-SINUSSEN,518
RAD_ZH00005079,Whole Bodyscintigrafie inj,515
RAD_ZH00005080,Whole Bodyscintigrafie scan,515
RAD_T_SACR,RX Sacrum-Coccyx,510
RAD_EFR,Ventriculografie/Ejectiefractie,509
RAD_0000008818,CR EOS MAKO-protocol STAAND,506
RAD_ZH00000285,Echo Humerus Rechts,504
RAD_ZH00000018,CR Scapula Links,504
RAD_0000008817,CR EOS MAKO-protocol ZITTEND,503
RAD_0000008608,CR EOS Onderste Ledematen / post-op THA,503
RAD_CARTO,Fixen carto onderzoeken,499
RAD_T_EHEUP2,Echo Heup Bilateraal,497
RAD_SLOKDARM,SMD,497
RAD_ECLE,Echo lever,496
RAD_EGD,Echo gastro Dr. Dewyspelaere,494
RAD_T_MRSCHL,MRI Schouder Li,492
RAD_CS00000039,TEE - Emboliebron,491
RAD_9004I,ARTOGRAFIE 4 (IZEGEM),489
RAD_B1102,DRIEFAZEN,489
RAD_ZH00000447,MR Pols TFCC Links,484
RAD_S201,gr.macro + gr.micro,483
RAD_ZH00000390,MR DWZ Tumor/Discitis,482
RAD_ZH00005121,CR Heup + Cross table links,482
RAD_0000008563,Punctie Drainage Abces,481
RAD_FI,Fluoscan Insight Roeselare,480
RAD_CS00000070,Arteriepunctie zonder zuurstof,480
RAD_HP,Hand/pols,477
RAD_ZH00000505,Punctie Heup,476
RAD_ZH00005514,VKF-ablatie (CARTO) + narcose,473
RAD_ZIEHM,Scopie Neurologie OK Roeselare,470
RAD_ZH00000281,Echo Voorarm Rechts,470
RAD_T_EELL1,Echo Elleboog Unilateraal,467
RAD_ZH00005008,4 dagen holter,465
RAD_ZH00000158,CT Abdomen Restaging,463
RAD_ZH00000172,CT Colon,463
RAD_31,celblok 1x,461
RAD_ZH00005220,Stemonderzoek,457
RAD_PBCI,Punctie Borst cyto-inspuiting,456
RAD_TT,Transthoracale Echocardiografie IZ,456
RAD_T_EPOLS1,Echo Pols Unilateraal,455
RAD_6001I,NMR HOOFD (IZEGEM),455
RAD_ZH00005268,Echo,454
RAD_0000008562,CT TPS Localisatie K79,451
RAD_GAL,GALLIUMSCAN,449
RAD_CS00000271,Nachtelijke Saturatie,448
RAD_T_DLIDE,Duplex & Echo Lever,448
RAD_CS00000680,IC - Echo,447
RAD_ZH00000501,Punctie - Vacuumgeassisteerd Borst op Mammo + Clip,445
RAD_SCANIOME,SCANNO,444
RAD_ZH00000284,Echo Humerus Links,442
RAD_1PTCA1,1 TIJDS PTCA 1 TAK,439
RAD_1271,NEUS,439
RAD_ZH00000328,MR Angio Carotiden,438
RAD_ZH00000413,MR Prostaat Pré Radiotherapie,437
RAD_ZH00000280,Echo Voorarm Links,436
RAD_ZH00000195,CT Thoracale Aorta,436
RAD_ZH00000386,MR CWZ Trauma,433
RAD_1722,DUPL ABD,432
RAD_T_ETH,Echo Thorax,431
RAD_ZH00005120,CR Heup + Dunn view rechts,431
RAD_T_COLOI,Colo Intern,430
RAD_T_MRPROS,MRI Prostaat,428
RAD_T_CBDENT,CBCT Dentascan terugbetaalbaar,428
RAD_ZH00000331,MR Angio A. Renalis,425
RAD_ZH00005100,Sentinel Borst inj,424
RAD_MRFU,MR Functioneel,422
RAD_CS00000094,Ergospirometrie,421
RAD_TL,Thrombolyse,421
RAD_T_SLF,Slikfunctie,420
RAD_T_FL,RX Lengtemeting,420
RAD_1272,SCHEDEL,420
RAD_CS00000035,48 uurs holter,416
RAD_1711,ECHO SCROTUM,416
RAD_TOMO,TOMO,416
RAD_B1101,TOTAAL SKELET,416
RAD_CSFD,Echo Prof. De Wolf - Gent,414
RAD_CLYSMA E,PERITO,411
RAD_ZH00000240,Conebeam Rotsbeenderen,405
RAD_ECHO NIE,ECHO NIER/BLOEDVATEN,403
RAD_0000008614,CT Abdomen Angor Abdominalis,403
RAD_ZH00005112,"CT HART - Pre TAVI (-,-,+)/EKG",400
RAD_1827,CB-LIDMAAT,399
RAD_EP,Echo prostaat,396
RAD_ZH00005538,PCI,392
RAD_0000008816,CT Heup Rechts MAKO-protocol,392
RAD_SBIM1,Superbiopsie + 1 immuno,389
RAD_ZH00000106,CR Nierstreek enkel,385
RAD_0000008815,CT Heup Links MAKO-protocol,383
RAD_CS00000040,TEE - Klepfunctie / kunstklep / bioklep / plastiek,382
RAD_T_EKLM,Echo Klein Bekken M,379
RAD_CBSIN,Conebeam sinussen,379
RAD_SCAL,RX scapula li,377
RAD_ZH00000051,CR Full Spine Face en Profiel,376
RAD_T_PUBO1,Borstpunctie +,376
RAD_ZH00000432,MR Schouder Geen Arthro Rechts,375
RAD_ZH00000468,MR Knie Body Matrix Rechts,375
RAD_SCAR,RX scapula re,373
RAD_PART,Gewrichtspunctie,371
RAD_ZH00000397,MR Full Spine Myelum,371
RAD_ZH00000367,MR Craniale Zenuwen - Nervus Trigeminus,370
RAD_T_MRHWD,MRI Hals,367
RAD_1305,SLOKDARM,365
RAD_ZH00000356,MR Hersenen Neuronavigatie,362
RAD_T_EONB,Echo Onderbeen,362
RAD_1705,ECHO LEVER,360
RAD_ZH00000196,CT Perforanten (DIEP),360
RAD_N8500,BOTDENSITOMETRIE NIET TERUGBETAALD,360
RAD_T_SLMA+,Slokdarm-Maag GB+,359
RAD_ZH00005101,Sentinel Borst scan,358
RAD_ZH00000355,MR Hersenen Vasculaire Malformatie /AVM,358
RAD_CTCARDIO,CT Cardio,358
RAD_ZH00005269,TEE scopiekamer,358
RAD_ZH00000098,CR ERCP,357
RAD_C2, cervixcytologie tweede lezing,357
RAD_ZH00000461,MR Heup Metabekken,356
RAD_ZH00005493,DDD-Pacemakerimplantatie,354
RAD_ERCP-OLD,ERCP ZONDER TOMIE,354
RAD_ZH00005241,echo mannelijk bekken,352
RAD_ECMB,Echo mannelijk bekken,352
RAD_ZH00005240,echo vrouwelijk bekken,351
RAD_ZH00005200,Duplex ledematen (adhoc) D,350
RAD_0000008732,MA Operatiestuk (voorafgaand mammo),348
RAD_DCVE,echo&duplex hals,348
RAD_ZH00000422,MR Fistel,347
RAD_T_ENIER,Echo Nieren,347
RAD_AXSKOLD,AXSK,347
RAD_ZH00000487,MR Mammo Verhoogd Risico,345
RAD_0000008778,Echo Rug (Weke Delen),344
RAD_ZH00000388,MR CWZ Meta/Discitis,343
RAD_T_DLIDA2,Duplex Arterieel Tweezijdig,343
RAD_ZH00000354,MR Hersenen Sinustrombose +,343
RAD_ZH00000506,Punctie Lever,340
RAD_1317,DEFAECOGRAFIE,339
RAD_N8100,BDM TERUGBETAALD ( 5 JAAR ),336
RAD_HSP,Hersenscan SPECT,335
RAD_9016,CYSTOG + MICTIE,335
RAD_MYCD-OLD,MYELO CERV/DORS 6C,335
RAD_CS00000050,Epicutane allergietest,334
RAD_0000008591,Punctie Pleura,334
RAD_ZH00000108,CR Cystografie,334
RAD_1449,NSE,328
RAD_RXOPER,rx operatiezaal,328
RAD_ZH00005119,CR Heup + Dunn view links,326
RAD_THBOB,Thorax + Bobby tractie,326
RAD_CAR6-OLD,BIL-FPS,325
RAD_HARP,Harpoenplaatsing,325
RAD_ZH00000417,MR Endometriose,323
RAD_T_DEFEC,Defaecografie,323
RAD_1733,UNILATER DUPLEX VAN ARTERIELE ONDERSTE OF BOVENSTE,323
RAD_9015,CYSTOGRAFIE,323
RAD_0000008918,Epidurale Lumbaal,321
RAD_PTCA,PTCA planning,321
RAD_ZH00005401,CT TPS Thorax,321
RAD_CS00000038,TEE - Endocarditis,319
RAD_T_CCOLO,Virtuele Colonoscopie,319
RAD_ZH00000200,CT Elleboog Links,319
RAD_PLYMF,puntie lymfeklier,318
RAD_0000008609,CR EOS Full Body / sag - cor balans,317
RAD_T_DLIDA1,Duplex Arterieel Eenzijdig,316
RAD_ZH00005197,Echo hals (adhoc) E,316
RAD_KMGB,Kleine Macroscopie + gewone biopsie,313
RAD_ZH00000201,CT Elleboog Rechts,311
RAD_ZH00000095,CR SMD + Transit,311
RAD_T_MRENKR,MRI Enkel Re,310
RAD_ZH00000467,MR Knie Body Matrix Links,307
RAD_ZH00000361,MR Hersenen Hypofyse Macro,307
RAD_1163,SCAPULA,306
RAD_BYMI,Bijschildklierscan,305
RAD_ZH00005537,coronaro + rechter hartkatheterisatie,304
RAD_ZH00000336,MR Cardio Myocarditis,303
RAD_OEC9900,Onderzoek OK Menen,302
RAD_ZH00005304,Veneuze Duplex Onderste Ledematen,301
RAD_ZH00005124,CR Bekken + In-en outlet,301
RAD_T_EVIN1,Echo Vinger Unilateraal,301
RAD_FSP1,FSP1,301
RAD_ZH00005631,C-boog ERCP,300
RAD_PTAVE,PTA veneus,300
RAD_CAIM4,Cytologie andere + 4x immuno,299
RAD_ZH00000431,MR Schouder Geen Arthro Links,299
RAD_CAV4,Bil-fps-v new,299
RAD_CWZ5,CWZ5,299
RAD_ZH00005232,BERA + ALGO,297
RAD_T_PROCTO,Procto Endoscopie,296
RAD_T_SANT,Alg Anesthesie,294
RAD_KASK,KASK,293
RAD_SIG,SIG,290
RAD_SB2I1,2 x superbiopsie + 1 immuno,289
RAD_T_MRENKL,MRI Enkel Li,288
RAD_T_CTHH,CT Thorax Hoge Resolutie,287
RAD_ZH00000215,CT Knie TAGT,286
RAD_ZH00000476,MR Enkel Achillespees Rechts,286
RAD_0000008801,Duplex-Dopler Carotiden + Echo Abdomen,284
RAD_ZH00000239,Conebeam Maxillo-Faciaal Massief,284
RAD_ZH00000138,CT Maxillo-Faciaal Massief Met Contrast,284
RAD_ZH00005017,MEP onderste extremiteiten,283
RAD_1734,DUPLEX FOLLOW UP ARTERIELE BLOEDVATEN,282
RAD_T_STV,Scopie-TV OP,282
RAD_BDL,Botscan deel,282
RAD_0000008690,Punctie Borst (Inspuiten technetium),281
RAD_ZH00005299,Arteriële Duplex Onderste Ledematen,279
RAD_CS00000010,Ritmestrook ECG,277
RAD_ZH00000516,Punctie Schildklier (Cytologie),274
RAD_LVLSP,Longventilatie gecombineerd met een longperfusie S,273
RAD_T_FNAC1,FNAC ,273
RAD_CTPS,CTPS,271
RAD_ZH00000093,CR Slokdarm + Maag  ,269
RAD_CAU1,Cytologie urine & bladderwash,269
RAD_ZH00000205,CT Hand Rechts,268
RAD_ZH00000311,Duplex-Dopler Bovenste Lidmaat Arterieel Rechts,268
RAD_ZH00000474,MR Enkel OCD Rechts,267
RAD_ZH00005123,CR Bekken + Judet opnames,266
RAD_ZH00000171,CT Onderbuik,266
RAD_T_MRCP,MRI RCP,265
RAD_ZH00005294,Arteriële Duplex Halsvaten,265
RAD_DEFO,DIAGNOSTISCH EFO ,265
RAD_T_CSCH,CT SCHEDEL ZONDER KONTRAST,264
RAD_DUPLEXBI,Duplex Bil ledematen art of ven,262
RAD_ZH00000382,MR Plexus Brachialis Plexus,261
RAD_ZH00005040,Late potentialen,260
RAD_ZH00000455,MR Heup Bilateraal,260
RAD_0000008551,Pacemaker looprecorder,258
RAD_MF3,Materiaal Forfait PCI binnen DES indicatie,258
RAD_0000008613,CT volledige wervelzuil of combinatie 2 regio's,258
RAD_0000008761,DigitaalOK,258
RAD_0000008760,TEE scopiekamer Rumbeke,258
RAD_ZH00000159,CT Abdomen Screening Tumor,255
RAD_ZH00005404,CT TPS Pelvis,254
RAD_BP,Borstpunctie,253
RAD_1673,CT CORONARO,253
RAD_1599,PUNCTIE HAEMATOOM,252
RAD_CAIM3,Cytologie andere + 3x immuno,252
RAD_PTAS,PTA supra-aortische vaten,251
RAD_VE,Voet/Enkel,248
RAD_PELV,RX pelvimetrie,247
RAD_T_HSG,Hysterosalpinografie,247
RAD_IMRLM,MR lidmaat IZEGEM,246
RAD_CYSTOGRA,CYSTO,246
RAD_ALMK,Art. lidm via Katheter,245
RAD_AM,ARTHREX Menen,245
RAD_AAOR-OLD,AO.THOR.OF ABD 3CL,245
RAD_T_MRACER,MRI Angio Cerebraal,244
RAD_T_MRVOER,MRI Voet Re,243
RAD_T_MRPOLR,MRI Pols Re,243
RAD_ZH00000491,MR Pediatrie Hersenen <2jr,243
RAD_0000008606,CR EOS Wervelzuil / sag - cor balans,242
RAD_1700,ECHO SCHEDEL,242
RAD_T_MRLEV,MRI Lever,241
RAD_ECHO LEV,ECHO LEVER,241
RAD_ZH00000475,MR Enkel Achillespees Links,240
RAD_ZH00005234,Lumbaalpunctie (adhoc),239
RAD_ZH00000515,Punctie Schildklier (Anatomopathologie),239
RAD_ZH00005056,Longweerstandsbepaling,239
RAD_0000008813,ENDOERCP,238
RAD_MRLMI,MR lidmaat IZEGEM,237
RAD_T_CYSON,Cystografie + Sondage,237
RAD_DUPLEXHV,Duplex halsvaten,235
RAD_ZH00000473,MR Enkel OCD Links,235
RAD_T_BOTDX,Botdensitometrie,234
RAD_ARZP,Arthro zonder punctie,234
